area,price
4000,28662700.02124173
5300,37919832.797232494
6200,44328617.02676457
6600,47176965.57322328
6800,48601139.84645262
7000,50025314.11968197
7100,50737401.25629665
7200,51449488.392911315
7500,53585749.80275534
